suggestion_id,color_usage,design_usage,ux_suggestion,color_category,design_category,source
1,Dark orange,Full orange backgrounds,"It’s disadvantage is that by survey of “favorite color” orange usually comes the lowest and thus it is rarely used for longer term products, such as cars or electronic products.",Complementary colors,Products,https://zevendesign.com/color-association/#orange
2,Orange shades,Orange ui components,"Usage of orange shades in UI designs To the human eye, orange is a very hot color, so it gives the sensation of heat",Analog colors,General,https://zevendesign.com/color-association/#orange
3,Orange shades,Orange wordings,"Usage of orange shades in UI designs As a citrus color, orange is associated with healthy food and stimulates appetite",Analog colors,General,https://zevendesign.com/color-association/#orange
4,Orange shades,Orange ui components,"Usage of orange shades in UI designs Orange represents enthusiasm, fascination, happiness, creativity, determination, attraction, success, encouragement and stimulation.",Analog colors,General,https://zevendesign.com/color-association/#orange
5,Orange shades,Orange ui components,"Usage of orange shades in UI designs Orange is the color of fall and harvest. In heraldry, orange is symbolic of strength and endurance.",Analog colors,General,https://zevendesign.com/color-association/#orange
6,Orange shades,Orange ui components,Usage of orange shades in UI designs,Analog colors,General,https://zevendesign.com/color-association/#orange
7,Orange shades,Orange wordings,"Usage of orange shades in UI designs Orange has very high visibility, so you can use it to catch attention and highlight the most important elements of your design. Orange is very effective for promoting food products and toys.",Analog colors,General,https://zevendesign.com/color-association/#orange
8,Orange shades,Orange ui components,"Usage of orange shades in UI designs Orange combines the energy of red and the happiness of yellow. It is associated with joy, sunshine, the tropics.",Analog colors,Products,https://zevendesign.com/color-association/#orange
9,Purple shades,Purple ui components,"According to surveys, almost 75 percent of pre-adolescent children prefer purple to all other colors. ",Analog colors,Products,https://zevendesign.com/color-association/#purple
10,Dark purple,Full purple backgrounds,"darker shades can represent sadness and frustration. In some parts of Europe, purple is associated with death and mourning",Complementary colors,General,https://www.verywellmind.com/the-color-psychology-of-purple-2795820
11,Dark purple,Full purple backgrounds,When it comes to UI designs purple is the hardest color for the eye to discriminate.,Complementary colors,Informative,https://www.colormatters.com/the-meanings-of-colors/purple
12,Purple shades,Purple ui components,"Purple can symbolize many things, but to sum it up in a few words, purple represents strength, transformation, power, and royalty.",Analog colors,General,https://pages.vassar.edu/vassartransitions/events/the-meaning-behind-the-color-purple/
13,Purple shades,Purple ui components,color purple is a rare occurring color in nature and as a result is often seen as having sacred meaning,Analog colors,General,https://www.bourncreative.com/meaning-of-the-color-purple/
14,Purple shades,Purple ui components,"The color purple has a variety of effects on the mind and body, including uplifting spirits, calming the mind and nerves,",Analog colors,General,https://www.bourncreative.com/meaning-of-the-color-purple/
15,Purple shades,Purple ui components,"light purples are associated with light-hearted, romantic energies",Analog colors,General,https://www.verywellmind.com/the-color-psychology-of-purple-2795820
16,Purple shades,Purple ui components,"Purple is the most powerful visible wavelength out of all of the colors in the rainbow, but make sure to use it properly",Analog colors,General,https://pages.vassar.edu/vassartransitions/events/the-meaning-behind-the-color-purple/
17,Dark red,Full red backgrounds,"When each and every element on your site is in red, it creates a competition between those elements and increases the cognitive load",Complementary colors,Ecomerce,https://uxdesign.cc/branding-your-app-with-red-a7df0b6b0e54
18,Dark red,Full red backgrounds,we use the color red to display error messages because of its ability to grab the attention faster than the other colors,Complementary colors,General,https://uxdesign.cc/branding-your-app-with-red-a7df0b6b0e54
19,Dark red,Full red backgrounds,Red always makes you feel that you are running out of time and rushes you to take the next action.,Complementary colors,General,https://uxdesign.cc/branding-your-app-with-red-a7df0b6b0e54
20,Dark red,Full red backgrounds,making the user unable to focus on the most important message.,Complementary colors,Informative,https://uxdesign.cc/branding-your-app-with-red-a7df0b6b0e54
21,Dark red,Full red backgrounds,result in users missing out on most important actions among other important actions,Complementary colors,General,https://uxdesign.cc/branding-your-app-with-red-a7df0b6b0e54
22,Dark red,Full red backgrounds,Financial institutions often avoid red as it can be a negative colour to associate with money and finances.,Complementary colors,Financial,https://www.irelandwebsitedesign.com/blog/353-pros-and-cons-of-popular-colours-in-logo-design/
23,Red shades,Red ui components,"Light red represents joy, sexuality, passion, sensitivity, and love",Analog colors,General,https://uxdesign.cc/branding-your-app-with-red-a7df0b6b0e54
24,Red shades,Red ui components,"Even after having a secondary color in your palette, if you really really want to add red to a Call-To-Action button, make sure that you are adding it only to the most important action",Analog colors,General,https://uxdesign.cc/branding-your-app-with-red-a7df0b6b0e54
25,Red shades,Red ui components,Red also helps stimulate an appetite which is why it’s the favourite colour of a lot of famous fast food restaurants,Analog colors,Business,https://www.irelandwebsitedesign.com/blog/353-pros-and-cons-of-popular-colours-in-logo-design/
26,Red shades,Red ui components,Your logo can be all red but that doesn’t mean you have to have red as the only color in your color scheme. You can incorporate some accent colors to your theme,Analog colors,Products,https://uxdesign.cc
